size,waist,thigh,hem,outseam,model,brand,price,salerate,realprice,modelDetail,sex
84,85.5,63.5,36.6,104,1709356589,SPAO,39900,50,19900,레귤러스트레이트(D톤) SPTJ749C31,M
86,88,65,37.2,104.5,1709356589,SPAO,39900,50,19900,레귤러스트레이트(D톤) SPTJ749C31,M
88,90.5,66.5,37.8,105,1709356589,SPAO,39900,50,19900,레귤러스트레이트(D톤) SPTJ749C31,M
90,93,68,38.4,105.5,1709356589,SPAO,39900,50,19900,레귤러스트레이트(D톤) SPTJ749C31,M
74,75,52,30.6,97,1802550988,SPAO,39900,38,24900,롤업 스키니 진(청바지)_M/IINDIGO_SPTJ823C19,M
76,77.5,53.5,31.2,97.5,1802550988,SPAO,39900,38,24900,롤업 스키니 진(청바지)_M/IINDIGO_SPTJ823C19,M
78,80,55,31.8,98,1802550988,SPAO,39900,38,24900,롤업 스키니 진(청바지)_M/IINDIGO_SPTJ823C19,M
80,82.5,56.5,32.4,98.5,1802550988,SPAO,39900,38,24900,롤업 스키니 진(청바지)_M/IINDIGO_SPTJ823C19,M
82,85,58,33,99,1802550988,SPAO,39900,38,24900,롤업 스키니 진(청바지)_M/IINDIGO_SPTJ823C19,M
84,87.5,59.5,33.6,99.5,1802550988,SPAO,39900,38,24900,롤업 스키니 진(청바지)_M/IINDIGO_SPTJ823C19,M
86,90,61,34.2,100,1802550988,SPAO,39900,38,24900,롤업 스키니 진(청바지)_M/IINDIGO_SPTJ823C19,M
88,92.5,62.5,34.8,100.5,1802550988,SPAO,39900,38,24900,롤업 스키니 진(청바지)_M/IINDIGO_SPTJ823C19,M
74,75,55,28.2,99,1803607189,SPAO,39900,38,24900,드라이어스 진(청바지)_SPTJ824C83,M
76,77.5,56.5,29.4,99.5,1803607189,SPAO,39900,38,24900,드라이어스 진(청바지)_SPTJ824C83,M
78,80,58,30.6,100,1803607189,SPAO,39900,38,24900,드라이어스 진(청바지)_SPTJ824C83,M
80,82.5,59.5,31.8,100.5,1803607189,SPAO,39900,38,24900,드라이어스 진(청바지)_SPTJ824C83,M
82,85,61,33,101,1803607189,SPAO,39900,38,24900,드라이어스 진(청바지)_SPTJ824C83,M
84,87.5,62.5,34.2,101.5,1803607189,SPAO,39900,38,24900,드라이어스 진(청바지)_SPTJ824C83,M
86,90,64,35.4,102,1803607189,SPAO,39900,38,24900,드라이어스 진(청바지)_SPTJ824C83,M
88,92.5,65.5,36.6,102.5,1803607189,SPAO,39900,38,24900,드라이어스 진(청바지)_SPTJ824C83,M
90,95,67,37.8,103,1803607189,SPAO,39900,38,24900,드라이어스 진(청바지)_SPTJ824C83,M
74,75,57,30.6,95,1805714441,SPAO,39900,50,19900,테이퍼드 진(청바지)_SPTJ849C43,M
76,77.5,58.5,31.2,95.5,1805714441,SPAO,39900,50,19900,테이퍼드 진(청바지)_SPTJ849C43,M
78,80,60,31.8,96,1805714441,SPAO,39900,50,19900,테이퍼드 진(청바지)_SPTJ849C43,M
80,82.5,61.5,32.4,96.5,1805714441,SPAO,39900,50,19900,테이퍼드 진(청바지)_SPTJ849C43,M
82,85,63,33.0,97,1805714441,SPAO,39900,50,19900,테이퍼드 진(청바지)_SPTJ849C43,M
84,87.5,64.5,33.6,97.5,1805714441,SPAO,39900,50,19900,테이퍼드 진(청바지)_SPTJ849C43,M
86,90,66,34.2,98,1805714441,SPAO,39900,50,19900,테이퍼드 진(청바지)_SPTJ849C43,M
88,92.5,67.5,34.8,98.5,1805714441,SPAO,39900,50,19900,테이퍼드 진(청바지)_SPTJ849C43,M
90,95,69,35.4,99,1805714441,SPAO,39900,50,19900,테이퍼드 진(청바지)_SPTJ849C43,M
74,75,53,32.6,102,1805751014,SPAO,39900,50,19900,롤업 슬림 진(청바지)_SPTJ838C93,M
76,77.5,54.5,33.2,102.5,1805751014,SPAO,39900,50,19900,롤업 슬림 진(청바지)_SPTJ838C93,M
78,80,56,33.8,103,1805751014,SPAO,39900,50,19900,롤업 슬림 진(청바지)_SPTJ838C93,M
80,82.5,57.5,34.4,103.5,1805751014,SPAO,39900,50,19900,롤업 슬림 진(청바지)_SPTJ838C93,M
82,85,59,35,104,1805751014,SPAO,39900,50,19900,롤업 슬림 진(청바지)_SPTJ838C93,M
84,87.5,60.5,35.6,104.5,1805751014,SPAO,39900,50,19900,롤업 슬림 진(청바지)_SPTJ838C93,M
86,90,62,36.2,105,1805751014,SPAO,39900,50,19900,롤업 슬림 진(청바지)_SPTJ838C93,M
88,92.5,63.5,36.8,105.5,1805751014,SPAO,39900,50,19900,롤업 슬림 진(청바지)_SPTJ838C93,M
90,95,65,37.4,106,1805751014,SPAO,39900,50,19900,롤업 슬림 진(청바지)_SPTJ838C93,M
74,75,54,28.2,95,1806826735,SPAO,59900,50,29900,테이퍼드진(청바지)_SPTJ838C42,M
76,77.5,55,29.4,95.5,1806826735,SPAO,59900,50,29900,테이퍼드진(청바지)_SPTJ838C43,M
78,80,57,30.6,96,1806826735,SPAO,59900,50,29900,테이퍼드진(청바지)_SPTJ838C44,M
80,82.5,58.5,31.8,96.5,1806826735,SPAO,59900,50,29900,테이퍼드진(청바지)_SPTJ838C45,M
82,85,60,33.0,97,1806826735,SPAO,59900,50,29900,테이퍼드진(청바지)_SPTJ838C46,M
84,87.5,61.5,34.2,97.5,1806826735,SPAO,59900,50,29900,테이퍼드진(청바지)_SPTJ838C47,M
86,90,63,35.4,98,1806826735,SPAO,59900,50,29900,테이퍼드진(청바지)_SPTJ838C48,M
88,92.5,64.5,36.6,98.5,1806826735,SPAO,59900,50,29900,테이퍼드진(청바지)_SPTJ838C49,M
90,95,66,37.8,99,1806826735,SPAO,59900,50,29900,테이퍼드진(청바지)_SPTJ838C50,M
74,75,60,40.6,101,1807871493,SPAO,39900,50,19900,와이드 컬러 진(청바지)_SPTJ849C65,M
76,77.5,61.5,41.2,101.5,1807871493,SPAO,39900,50,19900,와이드 컬러 진(청바지)_SPTJ849C66,M
78,80,63,41.8,102,1807871493,SPAO,39900,50,19900,와이드 컬러 진(청바지)_SPTJ849C67,M
80,82.5,64.5,42.4,102.5,1807871493,SPAO,39900,50,19900,와이드 컬러 진(청바지)_SPTJ849C68,M
82,85,66,43,103,1807871493,SPAO,39900,50,19900,와이드 컬러 진(청바지)_SPTJ849C69,M
84,87.5,67.5,43.6,103.5,1807871493,SPAO,39900,50,19900,와이드 컬러 진(청바지)_SPTJ849C70,M
86,90,69,44.2,104,1807871493,SPAO,39900,50,19900,와이드 컬러 진(청바지)_SPTJ849C71,M
88,92.5,70.5,44.8,104.5,1807871493,SPAO,39900,50,19900,와이드 컬러 진(청바지)_SPTJ849C72,M
90,95,72,45.4,105,1807871493,SPAO,39900,50,19900,와이드 컬러 진(청바지)_SPTJ849C73,M
74,75,60.0,40.6,101.0,1807880774,SPAO,39900,50,19900,와이드 진(청바지)_SPTJ849C63,M
76,77.5,61.5,41.2,101.5,1807880774,SPAO,39900,50,19900,와이드 진(청바지)_SPTJ849C64,M
78,80,63,41.8,102,1807880774,SPAO,39900,50,19900,와이드 진(청바지)_SPTJ849C65,M
80,82.5,64.5,42.4,102.5,1807880774,SPAO,39900,50,19900,와이드 진(청바지)_SPTJ849C66,M
82,85,66,43,103,1807880774,SPAO,39900,50,19900,와이드 진(청바지)_SPTJ849C67,M
84,87.5,67.5,43.6,103.5,1807880774,SPAO,39900,50,19900,와이드 진(청바지)_SPTJ849C68,M
86,90,69,44.2,104,1807880774,SPAO,39900,50,19900,와이드 진(청바지)_SPTJ849C69,M
88,92.5,70.5,44.8,104.5,1807880774,SPAO,39900,50,19900,와이드 진(청바지)_SPTJ849C70,M
90,95,72,45.4,105,1807880774,SPAO,39900,50,19900,와이드 진(청바지)_SPTJ849C71,M
74,75.0,57.0,30.6,92,1808894608,SPAO,39900,50,19900,디스트로이드 테이퍼드 진(청바지)_SPTJ838C41,M
76,77.5,58.5,31.2,93,1808894608,SPAO,39900,50,19900,디스트로이드 테이퍼드 진(청바지)_SPTJ838C42,M
78,80.0,60.0,31.8,94,1808894608,SPAO,39900,50,19900,디스트로이드 테이퍼드 진(청바지)_SPTJ838C43,M
80,82.5,61.5,32.4,95,1808894608,SPAO,39900,50,19900,디스트로이드 테이퍼드 진(청바지)_SPTJ838C44,M
82,85.0,63.0,33.0,96,1808894608,SPAO,39900,50,19900,디스트로이드 테이퍼드 진(청바지)_SPTJ838C45,M
84,87.5,64.5,33.6,97,1808894608,SPAO,39900,50,19900,디스트로이드 테이퍼드 진(청바지)_SPTJ838C46,M
86,90.0,66.0,34.2,98,1808894608,SPAO,39900,50,19900,디스트로이드 테이퍼드 진(청바지)_SPTJ838C47,M
88,92.5,67.5,34.8,99,1808894608,SPAO,39900,50,19900,디스트로이드 테이퍼드 진(청바지)_SPTJ838C48,M
90,95.0,69.0,35.4,100,1808894608,SPAO,39900,50,19900,디스트로이드 테이퍼드 진(청바지)_SPTJ838C49,M
74,76,61.5,46.6,109,1809017806,SPAO,39900,0,39900,롱 & 루즈 와이드 진(청바지)_SPTJ849C99,M
78,81,64.5,47.8,110,1809017806,SPAO,39900,0,39900,롱 & 루즈 와이드 진(청바지)_SPTJ849C100,M
82,86,67.5,49,111,1809017806,SPAO,39900,0,39900,롱 & 루즈 와이드 진(청바지)_SPTJ849C101,M
86,91,70.5,50.2,112,1809017806,SPAO,39900,0,39900,롱 & 루즈 와이드 진(청바지)_SPTJ849C102,M
90,96,73.5,51.4,113,1809017806,SPAO,39900,0,39900,롱 & 루즈 와이드 진(청바지)_SPTJ849C103,M
74,74,57,34.6,97,1901269048,SPAO,59900,33,39900,스트레치 끝판왕! 진_SPTJ923C31,M
76,76.5,58.5,35.2,97.5,1901269048,SPAO,59900,33,39900,스트레치 끝판왕! 진_SPTJ923C32,M
78,79.0,60.0,35.8,98,1901269048,SPAO,59900,33,39900,스트레치 끝판왕! 진_SPTJ923C33,M
80,81.5,61.5,36.4,98.5,1901269048,SPAO,59900,33,39900,스트레치 끝판왕! 진_SPTJ923C34,M
82,84.0,63.0,37.0,99,1901269048,SPAO,59900,33,39900,스트레치 끝판왕! 진_SPTJ923C35,M
84,86.5,64.5,37.6,99.5,1901269048,SPAO,59900,33,39900,스트레치 끝판왕! 진_SPTJ923C36,M
86,89.0,66.0,38.2,100,1901269048,SPAO,59900,33,39900,스트레치 끝판왕! 진_SPTJ923C37,M
90,94.0,69.0,39.4,100.5,1901269048,SPAO,59900,33,39900,스트레치 끝판왕! 진_SPTJ923C38,M
76,76.5,58.5,35.2,97.5,1901276989,SPAO,59900,33,39900,스트레치 끝판왕! 진(테이퍼드핏)_SPTJ923C33,M
78,79.0,60.0,35.8,98,1901276989,SPAO,59900,33,39900,스트레치 끝판왕! 진(테이퍼드핏)_SPTJ923C34,M
